,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
470,Kribi,CM,2.95,9.9167,75.31,86,100,1.59,overcast clouds
471,Talcahuano,CL,-36.7167,-73.1167,55.08,88,0,9.22,clear sky
472,Jutai,BR,-5.1833,-68.9,72.46,97,96,1.68,overcast clouds
473,Iquique,CL,-20.2208,-70.1431,59.04,80,55,2.06,broken clouds
474,Thyolo,MW,-16.0678,35.1405,59.07,91,72,3.85,broken clouds
475,Lavumisa,SZ,-27.31,31.892,57.94,93,5,4.74,clear sky
476,Samoded,RU,63.6083,40.5111,43.77,96,100,8.97,overcast clouds
477,Gardabani,GE,41.4605,45.0928,59.09,86,100,5.03,overcast clouds
478,Abalak,RU,58.1286,68.5944,38.79,85,99,7.45,overcast clouds
479,Emba,KZ,48.8264,58.1442,49.26,42,98,17.05,overcast clouds
480,Melnikovo,RU,56.5558,84.085,37.17,89,100,6.02,overcast clouds
481,Aksarka,RU,66.5606,67.7975,34.0,80,4,0.72,clear sky
482,Igunga,TZ,-4.2833,33.8833,69.21,54,28,6.29,scattered clouds
483,Gavirate,IT,45.8401,8.7198,61.25,90,0,4.43,clear sky
484,Ferrol,ES,43.4832,-8.2369,64.67,83,20,11.65,few clouds
485,Sazonovo,RU,59.0919,35.2268,44.11,96,99,6.26,overcast clouds
486,Pozega,HR,45.3403,17.6853,50.77,74,31,3.76,scattered clouds
487,Nyzhni Sirohozy,UA,46.8484,34.3804,46.4,82,78,6.26,broken clouds
488,Great Yarmouth,GB,52.6083,1.7305,55.94,88,0,7.16,clear sky
489,Bergerac,FR,44.8333,0.5,60.53,100,10,3.44,clear sky
490,Conceicao Do Araguaia,BR,-8.2578,-49.2647,88.97,29,93,4.38,overcast clouds
491,New Baltimore,US,42.6811,-82.7369,53.33,96,75,11.5,broken clouds
492,San Ignacio,BZ,17.1561,-89.0714,75.34,94,75,6.91,broken clouds
493,Port-Gentil,GA,-0.7193,8.7815,77.23,86,100,8.61,overcast clouds
494,Alta,NO,69.9689,23.2717,42.19,77,90,1.99,overcast clouds
495,Lakselv,NO,70.0513,24.9718,42.75,75,90,16.11,overcast clouds
496,Sao Felix Do Xingu,BR,-6.6447,-51.995,80.38,44,18,0.92,few clouds
497,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,76.46,85,59,9.44,broken clouds
498,Ramygala,LT,55.5167,24.3,48.42,95,100,9.84,light rain
499,Dothan,US,31.2232,-85.3905,65.62,81,1,4.61,clear sky
500,Harper,LR,4.375,-7.7169,76.77,89,50,6.24,light rain
501,Kikwit,CD,-5.041,18.8162,69.15,92,100,4.23,overcast clouds
502,Kavaratti,IN,10.5669,72.642,81.81,78,93,13.47,overcast clouds
503,Oneida,US,43.2001,-75.4663,66.42,93,90,6.91,overcast clouds
504,Ati,TD,13.2154,18.3353,79.54,65,86,11.34,overcast clouds
505,Bitlis,TR,38.5,42.25,47.3,87,0,6.06,light rain
506,Kibala,TD,9.1104,18.3463,76.95,94,0,0.0,clear sky
507,Novyy Urengoy,RU,66.0833,76.6333,31.95,83,47,8.86,scattered clouds
508,Ilorin,NG,8.5,4.55,72.75,94,100,3.31,overcast clouds
509,Sao Miguel Do Tapuio,BR,-5.5036,-41.3233,79.97,44,100,2.42,overcast clouds
510,Buchanan,LR,5.8808,-10.0467,76.8,88,100,5.48,moderate rain
511,Kataysk,RU,56.289,62.5841,35.55,79,8,6.08,clear sky
512,Parintins,BR,-2.6283,-56.7358,77.61,76,99,2.91,overcast clouds
513,Bonthe,SL,7.5264,-12.505,77.13,86,100,5.08,moderate rain
514,Tyssedal,NO,60.1165,6.562,47.88,97,100,4.5,overcast clouds
515,Raga,SS,8.4596,25.678,68.63,98,100,6.78,light rain
516,Usta Muhammad,PK,28.1794,68.0445,87.62,51,51,3.13,broken clouds
517,Gao,ML,16.6362,1.637,90.88,33,29,5.97,scattered clouds
518,Filingue,NE,14.3521,3.3168,87.58,49,93,6.04,overcast clouds
519,Iskateley,RU,67.6803,53.1512,36.7,90,87,7.9,overcast clouds
520,Alexandria,EG,31.2156,29.9553,75.16,60,40,13.8,scattered clouds
521,Maragogi,BR,-9.0122,-35.2225,76.12,86,48,9.64,scattered clouds
522,Coromandel,BR,-18.4733,-47.2003,77.25,43,71,3.94,broken clouds
523,Santhia,IT,45.3663,8.1726,64.71,83,0,2.3,clear sky
524,Romans-Sur-Isere,FR,45.0464,5.0562,61.39,86,2,1.41,clear sky
525,Leon,MX,21.1167,-101.6667,66.25,61,91,4.12,overcast clouds
526,Abay,KZ,49.6311,72.8539,26.98,70,0,8.68,clear sky
527,Matale,LK,7.4721,80.6234,77.58,75,97,3.8,overcast clouds
528,Amli,IN,20.2833,73.0167,76.28,92,92,3.83,overcast clouds
529,Peabiru,BR,-23.9128,-52.3431,70.02,46,45,4.34,scattered clouds
530,Rocha,UY,-34.4833,-54.3333,50.92,97,42,2.84,scattered clouds
531,Clarksville,US,36.5298,-87.3595,56.08,93,1,0.0,clear sky
532,Sibenik,HR,43.7272,15.9058,60.46,77,2,3.67,clear sky
533,Letka,RU,59.6011,49.4232,45.14,93,100,7.14,light rain
534,Santa Maria Da Vitoria,BR,-13.3947,-44.1886,81.84,42,67,10.58,broken clouds
535,Pavelets,RU,53.7883,39.246,46.11,89,87,8.3,overcast clouds
536,Ponta Delgada,PT,37.7333,-25.6667,66.92,77,20,9.22,few clouds
537,Sarakhs,IR,36.5449,61.1577,66.34,26,0,6.91,clear sky
538,Kaspiyskiy,RU,45.3929,47.3707,58.03,83,100,18.32,overcast clouds
539,Masyaf,SY,35.0653,36.3406,66.25,79,58,13.62,broken clouds
540,Maniitsoq,GL,65.4167,-52.9,31.03,50,61,6.55,broken clouds
541,Wattegama,LK,6.7989,81.4808,81.52,72,100,4.27,overcast clouds
542,Dobroye,RU,52.8678,39.8109,45.5,86,89,5.88,overcast clouds
543,Araci,BR,-11.3333,-38.9667,70.95,84,89,10.89,overcast clouds
544,Albany,US,42.6001,-73.9662,74.37,91,100,13.2,heavy intensity rain
545,Adet,ET,11.2644,37.4888,55.56,91,100,2.51,overcast clouds
546,Lamu,KE,-2.2717,40.902,77.22,77,7,14.72,clear sky
547,La Asuncion,VE,11.0333,-63.8628,80.74,86,2,11.25,clear sky
548,Riom,FR,45.9167,2.9167,47.05,86,26,3.27,scattered clouds
549,Bengkulu,ID,-3.8004,102.2655,82.24,69,88,1.25,overcast clouds
550,Vacaria,BR,-28.5122,-50.9339,53.89,95,100,2.51,overcast clouds
551,Bennington,US,42.8781,-73.1968,74.25,82,75,21.85,broken clouds
552,Villa Carlos Paz,AR,-31.4241,-64.4978,57.4,57,0,3.0,clear sky
553,Barreirinhas,BR,-2.7469,-42.8264,78.8,81,49,10.58,scattered clouds
554,Porto Novo,BJ,6.4965,2.6036,80.42,91,90,3.94,light rain
555,Teeli,RU,51.0333,90.2333,36.55,88,100,2.59,light rain
556,Tacuarembo,UY,-31.7333,-55.9833,55.98,92,98,5.26,overcast clouds
557,Itarema,BR,-2.9248,-39.9167,78.57,84,84,13.47,broken clouds
558,Knysna,ZA,-34.0363,23.0471,57.58,89,28,5.53,scattered clouds
559,Kudahuvadhoo,MV,2.6708,72.8944,83.03,75,65,13.69,broken clouds
560,Farim,GW,12.4839,-15.2217,74.52,98,100,4.43,moderate rain
561,Antofagasta,CL,-23.65,-70.4,56.48,83,50,3.02,scattered clouds
562,Jemnice,CZ,49.019,15.5699,58.95,74,54,18.16,broken clouds
563,Ramonville-Saint-Agne,FR,43.5462,1.4749,62.6,86,0,2.3,clear sky
564,Cockburn Town,TC,21.4612,-71.1419,83.32,75,100,10.58,overcast clouds
565,Oktyabrskiy,RU,54.4815,53.471,49.84,68,100,15.14,light rain
566,La Palma,US,33.8464,-118.0467,85.8,75,75,4.0,smoke
567,Abnub,EG,27.2696,31.1511,75.42,50,0,8.16,clear sky
568,Dobele,LV,56.625,23.2786,47.75,96,60,10.76,broken clouds
569,Bhagalpur,IN,25.25,87.0,79.88,87,100,2.59,overcast clouds
570,Santa Cruz De Tenerife,ES,28.4682,-16.2546,73.22,88,0,5.99,clear sky
571,Lagunas,PE,-5.2269,-75.6753,74.73,87,72,2.33,broken clouds
572,Suraabad,AZ,40.8192,49.4687,69.98,83,63,11.18,broken clouds
573,Khamgaon,IN,20.6833,76.5667,74.12,93,100,10.29,light rain
574,Yarada,IN,17.65,83.2667,80.92,94,40,2.3,mist
575,Tondi,IN,9.7333,79.0167,83.43,71,100,3.94,overcast clouds
576,Eydhafushi,MV,5.1033,73.0708,82.62,76,89,15.05,overcast clouds
577,Eravur,LK,7.7733,81.6095,81.99,74,98,5.28,overcast clouds
578,Caete,BR,-19.88,-43.6697,60.03,63,4,5.21,clear sky
579,Mjolby,SE,58.326,15.1237,49.75,68,9,16.06,clear sky
580,Nara,JP,34.6851,135.8049,79.92,53,48,5.26,scattered clouds
581,Lar,IN,26.2039,83.9717,79.99,88,57,8.57,broken clouds
582,Claudio,BR,-20.4433,-44.7658,64.4,46,18,6.11,few clouds
583,Sladkovo,RU,55.5284,70.3385,40.3,71,100,6.04,overcast clouds
584,Isparta,TR,38.0,31.0,39.96,84,6,11.32,clear sky
585,Ardalstangen,NO,61.2371,7.6983,44.1,94,100,4.56,overcast clouds
586,Zanjan,IR,36.6736,48.4787,61.52,31,0,6.82,clear sky
587,Kjopsvik,NO,68.097,16.3742,48.06,91,100,1.39,light rain
588,Minab,IR,27.1467,57.0801,78.3,70,0,3.49,clear sky
589,Copiapo,CL,-27.3667,-70.3333,49.69,36,0,2.75,clear sky
590,Saint Pete Beach,US,27.7253,-82.7412,82.17,69,0,4.0,clear sky
591,Fatsa,TR,41.0278,37.5014,57.0,90,100,6.58,light rain
592,Porto Belo,BR,-27.1578,-48.5531,64.38,82,52,10.4,light rain
593,Fowa,NG,8.9167,6.4,74.43,92,100,0.98,light rain
594,Arrecife,ES,28.963,-13.5477,73.47,78,0,5.75,clear sky
595,Ndioum,SN,16.5129,-14.6471,85.62,50,98,11.9,overcast clouds
596,Sayville,US,40.7359,-73.0821,77.02,89,90,5.99,heavy intensity rain
597,Lima,PE,-12.0432,-77.0282,59.9,83,90,5.75,overcast clouds
598,Elizabeth City,US,36.2946,-76.2511,69.03,96,90,4.61,overcast clouds
599,Gouyave,GD,12.1646,-61.7296,81.37,83,20,0.0,few clouds
600,Calabozo,VE,8.9242,-67.4293,74.12,94,90,3.8,overcast clouds
601,Kisesa,TZ,-3.0833,34.15,67.64,59,67,8.37,broken clouds
602,Kaabong,UG,3.4836,34.1492,64.26,69,46,5.79,scattered clouds
603,Marawi,PH,7.9986,124.2928,75.65,68,100,4.34,overcast clouds
604,Marsaxlokk,MT,35.8419,14.5431,75.07,83,20,8.05,few clouds
605,Aasiaat,GL,68.7098,-52.8699,19.92,90,97,7.16,overcast clouds
606,Carutapera,BR,-1.195,-46.02,79.72,77,38,9.1,scattered clouds
607,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,73.53,98,100,0.56,light rain
608,Kabinda,CD,-6.1333,24.4833,65.07,88,100,1.72,overcast clouds
609,Kondinskoye,RU,59.6481,67.41,39.31,92,100,5.3,overcast clouds
610,Belem,BR,-1.4558,-48.5044,77.04,88,0,9.22,clear sky
611,Panjab,AF,34.388,67.0233,47.64,31,0,1.41,clear sky
612,Lezajsk,PL,50.2626,22.4193,55.65,78,100,22.75,overcast clouds
613,Sambava,MG,-14.2667,50.1667,67.24,83,7,12.08,clear sky
614,Bajos De Haina,DO,18.4154,-70.0332,83.32,78,100,3.98,overcast clouds
615,Sparbu,NO,63.9194,11.4366,44.11,86,98,5.57,overcast clouds
616,Narasannapeta,IN,18.4167,84.05,81.18,84,100,2.1,overcast clouds
617,Aquiraz,BR,-3.9014,-38.3911,80.69,83,38,13.09,scattered clouds
618,Thaba Nchu,ZA,-29.2093,26.839,44.38,40,80,7.02,broken clouds
619,Znamenskoye,RU,57.1281,73.8282,37.4,93,98,6.98,overcast clouds
620,Syamzha,RU,60.0158,41.0614,46.94,97,100,9.15,overcast clouds
621,Peterhead,GB,57.5058,-1.7981,56.12,93,13,11.74,few clouds
622,Mirador,BR,-6.3708,-44.3631,83.32,36,66,2.84,broken clouds
623,Sendafa,ET,9.15,39.0333,51.15,89,97,2.39,light rain
624,Komsomolskiy,UZ,40.4272,71.7189,61.52,44,0,4.61,clear sky
625,Karabulak,RU,43.3036,44.8964,54.59,97,100,6.58,moderate rain
626,Warah,PK,27.4481,67.7978,86.34,55,11,5.08,few clouds
627,Bressuire,FR,46.9167,-0.5,52.3,74,4,2.95,clear sky
628,Nauta,PE,-4.5061,-73.5757,74.89,87,86,2.75,overcast clouds
629,Sisimiut,GL,66.9395,-53.6735,28.63,89,100,0.98,light snow
630,Kalabo,ZM,-14.97,22.6814,65.07,34,3,7.25,clear sky
631,Oranjemund,NA,-28.55,16.4333,54.77,92,19,6.89,few clouds
632,Susangerd,IR,31.5608,48.1831,85.78,19,0,4.88,clear sky
633,Misratah,LY,32.3754,15.0925,77.45,73,74,10.18,broken clouds
634,Dubrovnik,HR,42.6481,18.0922,64.04,42,0,8.05,clear sky
635,Kadoma,JP,34.7333,135.5833,80.6,50,75,8.05,broken clouds
636,Constitucion,CL,-35.3333,-72.4167,54.59,74,0,6.87,clear sky
637,Balkhash,KZ,46.844,74.9804,43.41,61,0,20.13,clear sky
638,Moroto,UG,2.5345,34.6666,66.2,71,94,1.3,overcast clouds
639,Mgandu,TZ,-5.95,34.1333,61.25,65,17,9.24,few clouds
640,Kangaatsiaq,GL,68.3065,-53.4641,27.48,80,99,6.2,overcast clouds
641,Karaton,ID,-6.3424,106.1045,86.16,67,97,5.59,overcast clouds
642,Karpathos,GR,35.507,27.2132,67.96,60,0,21.85,clear sky
643,Zuenoula,CI,7.4292,-6.0431,71.1,98,72,3.4,light rain
644,Norrtalje,SE,59.758,18.705,47.23,91,100,13.76,overcast clouds
645,Itatskiy,RU,56.07,89.0369,36.43,93,99,5.06,overcast clouds
646,Yokadouma,CM,3.5167,15.05,67.42,99,99,1.81,light rain
647,Brasileia,BR,-11.0161,-68.7481,83.77,47,65,2.84,broken clouds
648,Strezhevoy,RU,60.7333,77.5889,39.18,97,100,11.81,light rain
649,Shebekino,RU,50.4097,36.9136,42.22,91,98,5.86,overcast clouds
650,Benjamin Aceval,PY,-24.9667,-57.5667,68.14,63,100,5.57,overcast clouds
651,Malindi,KE,-3.2175,40.1191,75.87,79,17,14.03,few clouds
652,Boyuibe,BO,-20.4167,-63.2833,64.0,61,100,3.76,moderate rain
653,Manali,IN,13.1667,80.2667,82.49,70,100,7.25,moderate rain
654,Moose Factory,CA,51.2585,-80.6094,53.6,62,90,16.11,light rain
655,Bereda,ES,43.2686,-7.5406,59.92,100,100,6.17,overcast clouds
656,Kidal,ML,18.4411,1.4078,89.01,32,79,4.56,broken clouds
657,Voznesenye,RU,61.0106,35.4781,48.58,93,100,11.43,overcast clouds
658,Yaounde,CM,3.8667,11.5167,67.53,100,75,0.0,light rain
659,Havre-Saint-Pierre,CA,50.2334,-63.5986,52.39,93,90,5.75,overcast clouds
660,Ambikapur,IN,23.1167,83.2,75.27,89,37,5.79,scattered clouds
661,Baglung,NP,28.2719,83.5898,72.09,84,73,1.3,broken clouds
662,Oleksandrivka,UA,48.9634,32.2349,46.51,83,100,11.16,overcast clouds
663,Dabat,ET,12.9842,37.765,54.07,87,93,0.58,light rain
664,Karasburg,NA,-28.0167,18.75,54.14,34,53,1.3,broken clouds
665,Biabou,VC,13.2,-61.1333,82.49,75,8,10.11,clear sky
666,Shache,CN,38.4167,77.2406,68.2,25,0,5.37,clear sky
667,Ferkessedougou,CI,9.6,-5.2,73.33,88,91,3.58,light rain
668,Valparaiso,CL,-33.0393,-71.6273,55.04,82,0,5.75,clear sky
669,Caorle,IT,45.5966,12.8758,61.59,77,3,5.17,clear sky
670,Saint-Louis,SN,16.3333,-15.0,83.7,54,75,9.35,broken clouds
671,Salta,AR,-24.7859,-65.4117,59.59,45,0,1.99,clear sky
672,Eyl,SO,7.9803,49.8164,77.68,78,86,18.37,overcast clouds
673,Mmathubudukwane,BW,-24.6,26.4333,58.06,55,0,4.59,clear sky
674,Tolyatti,RU,53.5303,49.3461,52.16,74,100,19.84,light rain
675,Kabwe,ZM,-14.4469,28.4464,60.53,67,2,7.16,clear sky
676,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,72.97,98,88,2.37,overcast clouds
677,Kuusamo,FI,65.9667,29.1833,42.84,87,90,13.8,overcast clouds
678,Cordoba,AR,-31.4135,-64.1811,60.76,55,0,4.61,clear sky
679,Muscat,OM,23.6139,58.5922,86.02,64,92,5.91,overcast clouds
680,Sabla,NG,12.7525,4.7077,77.09,75,86,5.7,overcast clouds
681,Guaruja,BR,-23.9931,-46.2564,67.91,72,73,6.53,broken clouds
682,Nizwa,OM,22.9333,57.5333,81.95,56,100,2.82,overcast clouds
683,Sehwan,PK,26.4279,67.863,84.02,51,17,5.77,few clouds
684,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,72.63,99,100,1.57,overcast clouds
685,Santa Maria,BR,-29.6842,-53.8069,54.7,100,40,0.0,scattered clouds
686,Omaruru,NA,-21.4333,15.9333,68.07,14,0,4.99,clear sky
687,Manono,CD,-7.3,27.4167,72.99,67,64,2.3,broken clouds
688,Vagay,RU,57.9375,69.0217,40.39,82,100,7.85,overcast clouds
689,Mecca,SA,21.4267,39.8261,84.02,48,98,4.45,overcast clouds
690,Kjollefjord,NO,70.9457,27.3465,43.43,81,4,23.51,clear sky
691,Sanchor,IN,24.7553,71.7722,81.52,83,90,7.23,overcast clouds
692,Bhatkal,IN,13.9667,74.5667,77.43,90,100,2.15,overcast clouds
693,La Pena,FR,43.2821,5.5164,60.12,70,1,3.02,clear sky
694,Jacareacanga,BR,-6.2222,-57.7528,71.38,96,96,1.81,overcast clouds
695,Chicama,PE,-7.8447,-79.1469,59.54,82,50,5.14,scattered clouds
696,Ercis,TR,39.0287,43.3586,62.2,72,3,2.95,clear sky
697,Palpa,PE,-14.5336,-75.1856,67.68,65,12,2.39,few clouds
698,Fairhaven,US,41.6376,-70.9036,74.17,92,20,1.01,few clouds
699,Lokot,RU,52.565,34.5776,41.16,93,100,10.31,overcast clouds
700,Gat,IL,31.61,34.7642,71.4,100,29,7.49,scattered clouds
701,Praia,CV,14.9215,-23.5087,77.54,83,20,6.91,few clouds
702,Kitui,KE,-1.367,38.0106,58.53,96,49,4.36,scattered clouds
703,Hustopece,CZ,48.9408,16.7376,63.05,62,83,15.82,broken clouds
704,Tiznit,MA,29.5833,-9.5,63.5,83,3,1.19,clear sky
705,Santona,ES,43.4439,-3.4576,63.07,88,3,4.12,clear sky
